countryCode,Country,popData2018,GDP,GDP/capita
MWI,Malawi,18143315,6339,340
MYS,Malaysia,31528585,314707,9951
MDV,Maldives,515696,3032,11151
MLI,Mali,19077690,15235,822
MLT,Malta,483530,12553,29137
MRT,Mauritania,4403319,5092,1129
MUS,Mauritius,1265303,13366,10565
MEX,Mexico,126190788,1158229,8967
MDA,Moldova,3545883,8128,2006
MCO,Monaco,38682,6400,165421
MNG,Mongolia,3170208,11135,3620
MNE,Montenegro,622345,4588,6958
MSR,Montserrat,5900,63,11582
MAR,Morocco,36029138,109708,3070
MOZ,Mozambique,29495962,12651,426
MMR,Myanmar,53708395,67101,1257
NAM,Namibia,2448255,13244,5227
NPL,Nepal,28087871,24870,849
NLD,Netherlands,17231017,830572,48754
NCL,New Caledonia,284060,9894,35815
NZL,New Zealand,4885500,202044,42936
NIC,Nicaragua,6465513,13814,2222
NER,Niger,22442948,8119,378
NGA,Nigeria,195874740,375769,1969
MNP,Northern Mariana Islands,56882,1393,24500
NOR,Norway,5314336,399470,75295
OMN,Oman,4829483,70783,15267
PAK,Pakistan,212215030,302139,1534
PSE,Palestine,4569087,14498,2946
PAN,Panama,4176873,61838,15088
PNG,Papua New Guinea,8606316,22005,2667
PRY,Paraguay,6956071,29435,4322
PER,Peru,31989256,211402,6572
PHL,Philippines,106651922,313595,2989
POL,Poland,37978548,526211,13786
PRT,Portugal,10281762,195041,18882
PRI,Puerto Rico,3195153,104218,28451
QAT,Qatar,2781677,167605,63506
ROU,Romania,19473936,211803,10763
RUS,Russia,144478050,1530750,10956
RWA,Rwanda,12301939,9136,748
KNA,Saint Kitts and Nevis,52441,852,16818
LCA,Saint Lucia,181889,1718,9607
VCT,Saint Vincent and the Grenadines,110210,729,6980
SMR,San Marino,33785,1689,50588
STP,Sao Tome and Principe,211028,337,1921
SAU,Saudi Arabia,33699947,683827,20761
SEN,Senegal,15854360,21126,1333
SRB,Serbia,6982084,41589,5912
SYC,Seychelles,96762,1486,15693
SLE,Sierra Leone,7650154,4893,495
SGP,Singapore,5638676,323901,56737
SXM,Sint Maarten,41486,1059,25527
SVK,Slovakia,5447011,95617,17552
SVN,Slovenia,2067372,48455,23296
SOM,Somalia,15008154,1535,315
ZAF,South Africa,57779622,348872,6151
KOR,South Korea,51635256,1577524,30025
SSD,South Sudan,10975920,5693,453
ESP,Spain,46723749,1314314,28354
LKA,Sri Lanka,21670000,87356,4184
SDN,Sudan,41801533,120265,2967
SUR,Suriname,575991,5210,6757
SWZ,Swaziland,1367000,4482,3224
SWE,Sweden,10183175,535607,54043
CHE,Switzerland,8516543,678938,80101
SYR,Syria,16906283,49028,2900
TWN,Taiwan,23780452,579865,24380
TJK,Tajikistan,9100837,7145,801
TZA,Tanzania,56318348,52090,934
THA,Thailand,69428524,455302,6595
TLS,Timor,1267972,4970,2279
TGO,Togo,7889094,4576,614
TTO,Trinidad and Tobago,1389858,22104,16145
TUN,Tunisia,11565204,40068,3475
TUR,Turkey,82319724,851541,10546
TCA,Turks and Caicos Islands,31458,797,28689
UGA,Uganda,42723139,27698,646
UKR,Ukraine,44622516,112154,2536
ARE,United Arab Emirates,9630959,382575,40699
GBR,United Kingdom,66488991,2631228,39758
USA,United States of America,327167434,19485394,60055
VIR,United States Virgin Islands,106977,3888,36350
URY,Uruguay,3449299,59180,17120
UZB,Uzbekistan,32955400,49677,1557
VEN,Venezuela,28870195,255092,7977
VNM,Vietnam,95540395,223779,2342
ESH,Western Sahara,567402,909,2500
YEM,Yemen,28498687,27956,990
ZMB,Zambia,17351822,25868,1513
ZWE,Zimbabwe,14439018,18036,1091
